,Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
28,Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,1024,FALSE,1.59,15.6,4.53,1978.40,80,138.49
29,Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,4096,TRUE,2.34,15.6,3.74,2855.60,80,171.34
30,Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,SSD,2048,FALSE,1.22,14,4.64,2438.80,80,121.94
31,Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,512,TRUE,1.46,14,6.53,3339.20,80,166.96
32,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,1.96,16,4.22,2950.80,80,177.05
33,Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,SSD,2048,FALSE,2.98,18.4,4.14,2930.79,80,175.85
34,Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.23,16,4.6,3291.60,80,230.41
35,Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,2048,TRUE,1.48,13.3,4.1,2428.80,80,145.73
36,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,TRUE,2.53,18.4,4.79,3923.60,80,235.42
37,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,512,TRUE,2.63,18.4,3.17,2369.20,80,142.15
38,Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,TRUE,2.44,15.6,4.81,2439.61,80,146.38
39,Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,1024,TRUE,1.19,13.3,6.76,3198.40,80,191.9
40,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,4096,TRUE,1.18,13.3,4.65,3013.60,80,210.95
41,Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,1024,FALSE,1.35,14,3.45,1406.40,80,84.38
42,Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,1024,FALSE,2.92,17.3,3.11,1884.40,80,94.22
43,Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,512,TRUE,3.37,17.3,2.13,1605.20,80,96.31
44,Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,SSD,1024,TRUE,2.15,15.6,2.36,3404.40,80,204.26
45,Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.44,16,3.96,2991.60,80,179.5
46,Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,SSD,2048,TRUE,1.76,15.6,3.73,1950.81,80,117.05
47,Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,512,FALSE,2.79,18.4,2.83,3377.20,80,202.63
48,Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,2048,FALSE,1.37,13.3,5.29,4268.80,80,256.13
49,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,256,TRUE,1.21,13.3,6.7,2077.60,80,145.43
50,Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,SSD,256,TRUE,2.62,18.4,3.1,1671.60,80,117.01
51,Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,SSD,512,FALSE,2.4,16,6.19,1677.20,80,100.63
52,Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,SSD,1024,TRUE,1.18,14,5.89,2998.40,80,209.89
53,Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,SSD,256,TRUE,2.27,15.6,6.51,1643.60,80,98.62
54,Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,SSD,2048,FALSE,2.01,15.6,3.56,3086.80,80,216.08
55,Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,SSD,512,FALSE,1.47,14,2.29,1903.20,80,95.16
56,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,512,TRUE,1.42,14,4.98,3835.20,80,268.46
57,Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,2048,FALSE,2.52,17.3,6.64,3786.80,80,265.08
58,Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,1024,FALSE,1.25,13.3,6.4,2796.40,80,167.78
59,Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,1024,TRUE,1.11,13.3,5.91,2598.40,80,155.9
60,Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,4096,TRUE,2.75,18.4,3.19,2855.60,80,199.89
61,Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,SSD,1024,FALSE,3.11,17.3,3.17,1786.40,80,107.18
62,Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,1024,TRUE,1.3,13.3,5.45,2836.40,80,170.18
63,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,4096,FALSE,2.8,18.4,5.27,3735.60,80,261.49
64,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,1024,TRUE,1.1,14,2.03,2470.40,80,123.52
65,Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,SSD,2048,FALSE,3.06,18.4,6.26,3598.81,80,179.94
66,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.9,16,2.96,4018.80,80,200.94
67,Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,SSD,2048,FALSE,1.79,15.6,6.76,2702.80,80,162.17
68,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,512,FALSE,1.46,14,2.06,3603.20,80,252.22
69,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,TRUE,2.43,15.6,4.97,3471.60,80,208.3
70,Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,1024,FALSE,3.25,18.4,6.55,2236.40,80,111.82
71,Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,SSD,4096,TRUE,2.24,15.6,3.76,3623.60,80,217.42
72,Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,512,FALSE,1.16,14,4.42,2683.20,80,187.82
73,Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,SSD,2048,FALSE,1.97,15.6,4.73,3998.80,80,239.93
74,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,256,FALSE,1.12,13.3,2.84,2509.60,80,150.58
75,Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,4096,TRUE,1.39,14,5.4,2793.60,80,139.68
76,Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,4096,TRUE,1.17,14,2.49,2461.60,80,123.08
77,Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,SSD,1024,FALSE,1.22,14,2.98,2286.40,80,160.05
78,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,256,TRUE,3,18.4,3.1,3727.60,80,260.93
79,Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,1024,TRUE,1.31,13.3,6.21,2626.40,80,131.32
80,Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,FALSE,1.2,14,3.83,1586.40,80,111.05
81,Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,SSD,256,TRUE,2.75,17.3,2.2,2027.60,80,101.38
82,Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,4096,TRUE,2.84,18.4,3.2,2661.60,80,186.31
83,Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,1024,TRUE,3.15,18.4,3.87,1720.40,80,120.43
84,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,2048,TRUE,2.56,18.4,4.73,3906.80,80,195.34
85,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,SSD,2048,TRUE,3.13,18.4,4.24,3058.80,80,152.94
86,Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,SSD,2048,FALSE,2.92,18.4,2.19,1602.80,80,96.17
87,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,2048,TRUE,2.73,17.3,4.06,2522.80,80,126.14
88,Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,4096,TRUE,3.4,17.3,3.46,1963.60,80,117.82
89,Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,SSD,512,FALSE,1.47,14,2.94,2665.20,80,133.26
90,Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,512,TRUE,2.36,15.6,3.01,2369.20,80,142.15
91,Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,SSD,1024,TRUE,3.01,17.3,4.22,3056.40,80,152.82
92,Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,SSD,512,FALSE,1.19,13.3,6.65,2433.20,80,170.32
93,Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,512,TRUE,3.07,18.4,3.17,2565.20,80,128.26
94,Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,SSD,1024,TRUE,3.15,17.3,5.38,3366.40,80,201.98
95,Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,2048,FALSE,2.84,18.4,2.73,3402.80,80,170.14
96,Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,1024,FALSE,3.35,17.3,5.55,2684.40,80,161.06
97,Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,SSD,512,FALSE,2.56,18.4,4.64,1577.20,80,110.4
98,Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,FALSE,1.35,14,5,2289.60,80,114.48
99,Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,SSD,1024,FALSE,2.28,15.6,2.99,4196.40,80,293.75
100,Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,SSD,512,FALSE,1.05,13.3,6.29,2699.20,80,161.95
101,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,512,TRUE,1.41,14,3.13,2339.20,80,140.35
102,Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,SSD,4096,TRUE,1.67,16,6.15,1963.60,80,137.45
103,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,2048,FALSE,1.17,14,5.51,3436.80,80,206.21
104,Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,SSD,256,TRUE,2.39,16,4.04,1771.60,80,106.3
105,Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,SSD,1024,FALSE,1.22,13.3,6.19,2686.40,80,161.18
106,Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,SSD,256,FALSE,1.45,14,3.77,4089.60,80,204.48
107,Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,2048,FALSE,2.01,15.6,6.61,3530.80,80,247.16
108,Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,1024,FALSE,1.86,15.6,5.46,2300.40,80,138.02
109,Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,256,FALSE,2.02,15.6,5.08,2607.60,80,130.38
110,Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,256,TRUE,1.38,14,5.43,3697.60,80,258.83
111,Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,512,TRUE,1.09,13.3,2.15,2003.20,80,140.22
112,Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,SSD,256,TRUE,2.45,16,2.58,2539.60,80,152.38
113,Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,SSD,256,TRUE,3.48,18.4,3.43,1579.60,80,110.57
114,Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,256,FALSE,1.32,13.3,6.59,2321.60,80,116.08
115,Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,SSD,1024,FALSE,1.45,13.3,6.64,1854.40,80,92.72
116,Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,512,FALSE,1.67,16,6.76,2377.20,80,118.86
117,Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,SSD,512,TRUE,2.89,17.3,4.52,3015.20,80,150.76
118,Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,512,FALSE,2.33,15.6,2.37,2633.20,80,131.66
119,Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,512,TRUE,1.82,15.6,5.77,2497.20,80,174.8
120,Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,SSD,512,FALSE,1.42,14,6.42,2155.20,80,129.31
121,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,4096,TRUE,1.8,15.6,5.81,3811.60,80,266.81
122,Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,SSD,256,FALSE,1.58,15.6,5.42,1901.60,80,133.11
123,Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,256,FALSE,1.93,16,3.59,3607.60,80,180.38
124,Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,SSD,256,TRUE,1.37,13.3,4.32,3209.60,80,192.58
125,Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,SSD,4096,TRUE,1.66,15.6,2.08,3155.60,80,157.78
126,Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,SSD,512,FALSE,2.79,18.4,2.15,2185.20,80,131.11
127,Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,SSD,256,TRUE,2.54,17.3,5.55,2789.60,80,139.48
128,Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,SSD,512,TRUE,3,17.3,5.64,3353.20,80,167.66
129,Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,512,TRUE,2.32,15.6,4.74,2497.20,80,124.86
130,Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,4096,FALSE,1.55,16,6.47,2735.60,80,164.14
131,Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,4096,FALSE,2.23,15.6,3.61,3691.60,80,258.41
132,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.49,13.3,3.41,3688.80,80,184.44
133,Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,SSD,4096,FALSE,3.01,17.3,4.31,3203.59,80,224.25
134,Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,SSD,512,TRUE,3.27,17.3,5.38,1797.20,80,89.86
135,Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,SSD,256,TRUE,1.92,15.6,5.83,2027.60,80,101.38
136,Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,SSD,256,FALSE,1.26,14,2.09,2469.60,80,172.87
137,Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,2048,FALSE,3.01,18.4,2.39,2086.80,80,146.08
138,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,512,FALSE,1.18,13.3,6.46,2535.20,80,152.11
139,Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.74,15.6,4.2,2080.80,80,104.04
140,Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,SSD,2048,FALSE,1.18,13.3,2.94,2836.80,80,141.84
141,Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,2048,FALSE,1.35,14,2.16,2500.80,80,125.04
142,Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,SSD,4096,TRUE,1.89,15.6,6.9,3161.60,80,221.31
143,Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,256,FALSE,2.29,16,4.61,1359.60,80,81.58
144,Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,4096,TRUE,1.1,13.3,6.62,2973.60,80,178.42
145,Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,256,FALSE,1.38,14,3.76,2577.60,80,180.43
146,Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,SSD,512,FALSE,1.3,13.3,6.79,2303.20,80,161.22
147,Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,1024,FALSE,1.19,14,4.94,3078.40,80,215.49
148,Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,SSD,256,FALSE,1.4,14,5.1,2129.60,80,106.48
149,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,4096,FALSE,1.42,14,6.19,2255.60,80,135.34
150,Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,SSD,1024,FALSE,3.05,18.4,4.03,2946.40,80,206.25
151,Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,2.3,15.6,2.79,2950.80,80,206.56
152,Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,SSD,4096,FALSE,1.04,14,4.21,2341.60,80,140.5
153,Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,SSD,256,FALSE,2.36,16,5.91,2159.60,80,129.58
154,Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,512,FALSE,3.42,17.3,2.62,1485.20,80,89.11
155,Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,SSD,4096,FALSE,2.7,17.3,3.8,2543.60,80,178.05
156,Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,SSD,1024,TRUE,2.91,18.4,6.75,2548.40,80,178.39
157,Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,SSD,256,FALSE,2.66,17.3,2.1,1459.60,80,102.17
158,Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,SSD,1024,TRUE,1.6,15.6,2.16,4016.40,80,240.98
159,Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,SSD,2048,FALSE,1.34,14,2.86,1800.80,80,90.04
160,Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,256,TRUE,2.6,18.4,4.59,2727.60,80,190.93
161,Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,1024,FALSE,2.19,16,5.29,2684.41,80,161.06
162,Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,SSD,1024,FALSE,3.5,18.4,2.78,3246.40,80,227.25
163,Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,SSD,4096,TRUE,2.24,16,4.8,2923.60,80,204.65
164,Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,SSD,4096,TRUE,1.23,13.3,2.79,1977.59,80,98.88
165,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.54,16,5.91,4018.80,80,241.13
166,Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,1024,FALSE,2.81,17.3,2.81,3384.40,80,169.22
167,Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,SSD,1024,FALSE,2.29,15.6,2.18,1600.40,80,96.02
168,Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,2048,FALSE,1.12,14,4.19,2580.80,80,154.85
169,Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,SSD,2048,FALSE,2.39,16,2.98,2598.80,80,181.92
170,Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,SSD,2048,FALSE,1.47,13.3,6.26,1608.80,80,112.62
171,Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,SSD,1024,FALSE,1.1,14,6.1,1900.40,80,114.02
172,Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,2048,TRUE,3.23,18.4,4.27,3718.80,80,260.32
173,Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,SSD,256,FALSE,1.09,14,6.43,1701.60,80,119.11
174,Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,256,FALSE,1.16,14,3.61,3469.60,80,242.87
175,Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,512,TRUE,1.37,14,4.54,4235.20,80,296.46
176,Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,256,TRUE,1.32,13.3,3.39,1449.60,100,101.47
177,Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,2048,FALSE,2.04,16,6.48,3130.80,100,187.85
178,Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,256,FALSE,2.45,15.6,6.18,2907.60,100,174.46
179,Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,4096,FALSE,2.96,18.4,3.48,3607.60,100,252.53
180,Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,SSD,1024,FALSE,1.29,14,5.58,2036.40,100,101.82
181,Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,SSD,256,FALSE,2.73,17.3,5.34,3519.60,100,246.37
182,Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,256,TRUE,2.39,16,5.17,2277.60,100,159.43
183,Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,512,TRUE,3.23,18.4,4.72,3053.20,100,152.66
184,Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,SSD,256,TRUE,2.77,17.3,6.91,1829.60,100,128.07
